"Sans Nom";"";"";"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"HISTORIQUE DU 54° R.I. PENDANT LA GUERRE 1914-1918";"";"OFFICIER ANONYME";"1";"1";"acheté 20 ou 30 fr chez un bouqu années 80";"";"1925    ";"PARIS / BERGER - LEVRAULT";"";"54";"13.5 x 21";"BROCHE / BON ETAT";"C 4";"";"";"GUERRE  14 -  18";"HISTORIQUE REGIMENTAIRES ";"54° RI /  GUERRE 14-18";"";"";"";"";"";"";"";"1985    ";"30";"BOUQU. ( Allerey ou Nancy ? ) ";"";"";"";"";"";"";"";"";"";"";"";"";"";"HISTORIQUE INTERESSANT  ASSEZ RESUME 

SANS ILLUSTR NI CARTE

LISTE DES MORTS DU REGIMENT EN FIN D' OUVRAGE ";"";"";"";"";"";"";"";"";"";""
"HISTORIQUE DU 60° REGT D'INFANTERIE PENDANT LA GUERRE 14-18";"";"OFFICIER ANONYME";"1";"1";"acheté chez un bouqu30 ou 40 fr années 80";"";"1920    ";"PARIS / BERGER - LEVRAULT";"";"160";"14.5 X 22.5";"BROCHE  / MEDIOCRE";"C 4";"";"";"GUERRE  14 -  18";"HISTORIQUE REGIMENTAIRES ";"GUERRE 14-18 /  60° RI";"";"";"";"";"";"";"";"1985    ";"20";"BOUQU. ( Allerey ou Nancy ?  )";"";"";"";"";"";"";"";"";"";"";"";"";"";"HISTORIQUE DES PLUS INTERESSANTS POUR MOI PUISQUE LE 60° RI ETAIT LE REGIMENT DE BESANCON PENDANT LA GRANDE GUERRE ET DEVINT ENSUITE LE REGIMENT DE LONS LE SAUNIER .
IL FAISAIT PARTIE ,AVEC LE 44° RI QUI ETAIT ALORS LE REGIMENT DE LONS LE SAUNIER ,DE LA CELBRE DIVISION DES AS ,14° DIVISION
D'INFANTERIE 

HELAS  HELAS , LA MOITIE DU BOUQUIN A ETE ARRACHEE  :   les pp 33 à 90  sont manquantes  .

sans illustr ni carte

A LA FIN DE L'OUVRAGE ,LISTE DES TUES DU REGIMENT ,OFFICIERS ET SOLDATS ";"";"";"";"";"";"";"";"";"";""
"L'ARMEE DE LA LOIRE";"1870-1871";"ORTHOLAN  Henri";"1";"1";"acheté neuf 20 Euros ( 130 fr )  en 2006";"";"2005    ";"PARIS/ GIOVANANGELI ED. ";"";"256";"14 X 23";"BROCHE / NEUF / EXCELLENT";"D 2";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"OPERATIONS";"GENERAL CHANZY / GENERAL DUCROT /";"GENERAL D' AURELLE / ARTENAY / COULMIERS /";"VALLIERE / BEAUNE-LA-ROLANDE / CHATEAUDUN";"VILLEPION / BATAILLE DE LOIGNY /  POUPRY ";"BAT. DE VILLORCEAU /  VENDOME /";"BATAILLE DU MANS ";"";"";"2006    ";"100";"PARIS / LCV";"";"";"";"";"";"";"";"";"";"";"CARTES  ++";"BIBLIOGRAPHIE  ++++";"";"EXCELENT OUVRAGE MODERNE RETRACANT LES OPERATIONS DE CETTE ARMEE   ( une des multiples armees levées par
Gambetta dans les provinces françaises , à la suite de la défaite des armées de ligne  ) /


TRES INTERESSANT 

SANS ILLUSTR .  /  QQ CARTES PAS MAL  n et blanc 

Biblio assez complète";"";"";"";"";"";"";"";"";"";""
"L' ARMEE DU NORD ";"";"ORTHOLAN  Henri ";"1";"1";"acheté 18E en 2011  ( env. 120 Fr ) ";"";"2011    ";"B. GIOVANANGELI  ED. ";"";"154";"14 x 22.5";"BROCHE / NEUF ";"D 2";"";"";"GUERRE FRANCO-ALLEMANDE 1870-71";"OPERATIONS ";"BAPAUME / AMIENS ";"PONT A NOYELLES  /  SAINT-QUENTIN  ";"";"";"";"";"";"";"2011    ";"50";"PARIS / BIBAL  MA  ";"";"";"";"";"";"";"";"";"";"";"CARTES  ++";"BIBLIOGRAPHIE  ++";"";"OUVRAGE MODERNE  ASSEZ SYNTHETIQUE   POUR  COMMENCER L ETUDE DE CES OPERATIONS . 

L AUTEUR A ECRIT AUSSI UN AUTRE LIVRE SUR L ARMEE DE LA LOIRE 


PAD  D ILLUSTR. 
QQ CARTES PAS MAL   DANS LE TEXTE  EN NOIR ET BLANC ";"";"";"";"";"";"";"";"";"";""
"LE DESASTRE DE 1940";"";"PAILLAT CLAUDE";"1";"2";"acheté neuf 300 fr  vers 1985";"600";"1985    ";"PARIS / ROBERT LAFFONT";"";"1120";"15.5 X 24";"BROCHE / BON ETAT";"K 3";"";"";"SECONDE GUERRE MONDIALE ";"OPERATIONS  / DIPLOMATIE";"";"";"";"";"";"";"";"";"1985    ";"200";"LONS ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE ++++";"CARTES ++";"";"INDEX ++++";"DEUX ENORMES VOLUMES SUR LES CAUSES ET LE DEROULEMENT DE LA DEFAITE FRANCAISE 
DE 1940

LE 1ER VOLUME (420 p. )   ANALYSE LA SITUATION DEPUIS 1937  JUSQU AU DEBUT DES OPERATIONS  . 
LE SECOND VOLUME ( 700 p . )  TRAITE DE LA CAMPAGNE DE FRANCE DU I0 MAI AU 24 JUIN 
DANS LE PLUS GRAND DETAIL  . 

OUVRAGE DE REFERENCE . 

NOMBREUSES ILLUSTR. N ET BLANC TRES INT.  / NOMBREUX CROQUIS / 

NOMBREUSES PIECES ANNEXES  TELLES QUE DICTIONNAIRE , CHRONOLOGIE JOUR PAR JOUR   ETC./   INDEX DES NOMS CITES TRES COMPLET  . ";"";"";"";"";"";"";"";"";"";""
"ATTAQUEZ LE TIRPITZ";"";"PEILLARD  Léonce";"1";"1";"acheté neuf 7 ou 8 fr , années 70";"40";"1966    ";"PARIS / FLAMMARION  ";"J'AI LU Leur aventure ";"445";"11.5 X 16.5";"BROCHE / BON ETAT";"C 1";"";"";"SECONDE GUERRE MONDIALE ";"MEMOIRES / OPERATIONS ";"GUERRE MARITIME / CUIRASSE ";"TIRPITZ";"";"";"";"";"";"";"1971    ";"20";"LONS ";"";"";"";"";"";"";"";"";"";"";"";"";"";"EXCELLENT OUVRAGE SUR LA VIE ET LA FIN DE CE GRAND CUIRASSE ALLEMAND DE LA 
SECONDE GUERRE MONDIALE . ";"";"";"";"";"";"";"";"";"";""
"LA LIBERATION D'ORLEANS";"8 MAI 1429";"PERNOUD  Régine ";"1";"1";"";"";"";"";"TRENTE JOURNEES QUI ONT FAIT LA FRANCE";"0";"";"";"K 2";"";"";"";"";"GUERRE DE CENT ANS /  JEANNE D ' ARC ";"LIBERATION D' ORLEANS ";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VOIR FICHE A CE TITRE EN SERIE HG ";"";"";"";"";"";"";"";"";"";""
"LA VILLE ET LA GUERRE ";"";"PICON  Antoine ";"1";"1";"360 fr   vers 2000";"400";"1996    ";"BESANCON / LES ED. DE L'IMPR ";"";"237";"23 X 27";"RELIE /NEUF/ EXCELLENT";"A 6";"";"";"ETUDE";"ETUDE";"VILLES / FORTIFICATIONS ";"POLIORCETIQUE";"";"";"";"";"";"";"2000    ";"400";"BESANCON / NEO TYPO";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  ++";"CARTES +++";"BIBLIOGRAPHIE +++";"";"OUVRAGE MODERNE QUI DECRIT L' ADAPTATION DES VILLES A LA DEFENSE ET A LA GUERRE
DE L ANTIQUITE A NOS JOURS . 

DE ASSEZ A TRES INTERESSANT .

NOMBREUSES REPROD. DE PLANS ANCIENS ET PHOTOS COULEUR ( mais hélas en mat , ce qui donne un genre moderne , mais est bien moins joli et spectaculaire et même lisible  )  

COTE :  cet ouvrage m'a été offert lorsque je suis allé à l'Imprimerie NEO TYPO à Besancon pour parler de l'édition de GUYOT  et faire les bulletins de souscription . ";"";"";"";"";"";"";"";"";"";""
"BLENHEIM  1704";"LE Prince Eugène et Malborough contre la France";"PIGAILLEM  Henri";"1";"1";"acheté neuf 100 fr en 2005";"";"2004    ";"PARIS / ED. ECONOMICA";"CAMPAGNES ET STRATEGIES";"154";"15.5 x 24";"BROCHE / NEUF / EXCELLENT";"D 1";"";"";"ANCIEN REGIME ";"OPERATIONS";"BLENHEIM / CAMPAGNE DE 1704 /";"PRINCE EUGENE / MARLBOROUGH  / ";"TALLARD / MARSIN";"";"";"";"";"";"2005    ";"100";"PARIS / LCV";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE   +";"CARTES  +++";"BIBLIOGRAPHIE  ++++";"";"EXCELLENT OUVRAGE  MODERNE  SUR CETTE CELEBRE BATAILLE

( d'autant plus excellent que les sources sérieuses et précises sur les batailles de l'Ancien Régime sont assez rares ) 

Je pense qjue cet ouvrage apporte le maximum d'informations dont l'on puisse disposer sur cette campagne et cette bataille 

Plusieurs  CARTES n et blanc dont certaines assez précises 

Chronologie  :  BIBLIOGRPAHIE  très complète ";"";"";"";"";"";"";"";"";"";""
"GARDES DU CORPS DU ROI ";"";"PLAIDEUX  Nicolas ";"1";"1";"";"";"1991    ";"";"";"12";"";"";"K 3";"";"";"ANCIEN REGIME ";"HISTORIQUE REGIMENTAIRES ";"GARDES DU CORPS ROYAUX ";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  +";"";"";"";"ARTICLE SECONDAIRE MAIS CEPENDANT INTERESSANT DE 12 PAGES  DANS LE N° 25
DE LA PUBLICATION :coma:  LES GRANDES BATAILLES DE L'HISTOIRE :coma:  ( ARTICLE PRINCIPAL : 
CAMPAGNE DE TUNISIE 1943 ) 

( voir fiche à ce titre )";"";"";"";"";"";"";"";"";"";""
"LES INVALIDES ET LE MUSEE DE L' ARMEE ";"";"REVUE BEAUX ARTS";"1";"1";"";"";"";"";"";"0";"";"";"J 6 ";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VOIR FICHE A CE TITRE EN SERIE   HG ";"";"";"";"";"";"";"";"";"";""
"REVUE HISTORIQUE DE L' ARMEE";"";"REVUE HIST. DES ARMEES / S.H.A.T.";"1";"1";"";"";"";"MINISTERE DE LA GUERRE";"";"0";"";"BROCHE  / NEUF / EXCELLENT";"K 7";"";"";"TOUTES PERIODES ";"TOUS SUJETS ";"";"";"";"";"";"";"";"";"";"1500";"ABONT";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  +++";"CARTES   ++++";"BIBLIOGRAPHIE  ++++";"";"CETTE REVUE EST L' EMANATION OFFICIELLE  DU SERVICE HISTORIQUE DE L' ARMEE 

ELLE EXISTE DEPUIS LE DEBUT DU 20° SIECLE  ( je ne sais pas depuis quand exactement ) 

ELLE A SUBI DE NOMBREUSES MODIFICATIONS, TANT DE FORME QUE DE CONTENU, EVIDEMMENT, AU COURS DES DECENNIES . 
 
JUSQU' AUX ANNEES  1950  1960 ,  LE FORMAT ETAIT  21.5 X 27   AVEC ILLUSTR ET CARTES EN N ET BLANC 
LE CONTENU ETAIT ENCORE TRES  :coma: EVENEMENTIEL :coma:  ,  RELATANT DIVERSES OPERATIONS  DE TOUTES LES EPOQUES . 
DANS LES ANNEES 60 -70   LA PRESENTATION S' EST AMELIOREE , PAPIER GLACE ,  FORMAT PLUS GRAND ( 21.5 X 30  )
ILLUSTR  COULEURS  ETC... 
PAR CONTRE LE CONTENU S' EST DEGRADE ,  PASSANT DE PLUS EN PLUS A DES ETUDES STATISTIQUES,  SOCIOLOGIQUES ETC...  AVEC GRAPHIQUES , COURBES ,TABLEAUX DE CHIFFRES ,  MAIS DE MOINS EN MOINS DE RELATIONS OU DE TABLEAUX TOUT COURT !!!! 

LE RYTHME A TOUJOURS ETE DE 4 NUMEROS PAR AN . 

JE POSSEDE  10  NUMEROS ANCIENS  QUI ME VIENNENT DE LA COLL DU GENERAL AZAN  
 N° 1946 / 1  ( en deux exemplaires )  1948 / 1   , 1948 / 3  ,  1949  /  2 et 3   , 1950 / 2    ,   1954 / 1    ,     1958 / 4   ,   1959  / 1  

J AI 2 AUTRES NUMEROS ANCIENS QUI SONT A ARBOIS PARCE QUE JE LES AI OFFERT A PAPA CONMPTE TENU QUE LE SUJET PRINCIPAL EN ETAIT LDES OPERATIONS DE L ARMEE FRANCAISE EN ITALIE EN 1944  . 

1  NUMERO INTERMEDIAIRE ( 1967 / 3 )  QUI S' INTITULE  :coma: .L' ARMEE :coma:  ,  MAIS JE PENSE QU' IL S' AGIT DE LA MEME REVUE .  CE NUMERO MONTRE PARFAITEMENT LA TRANSITION . 

ENSUITE JE POSSEDE   20  NUMEROS  MODERNES  : EN EFFET JE ME SUIS ABONNE A LA REVUE , MAIS SEMBLE T' IL  ,
PAR DEUX FOIS A 7 8 ANS D' INTERVALLE   ( j' avais dû être déçu par mon 1er abonnement et l'arrêter au bout de 3 ans , puis j'ai refait un essai et- j'ai arrêté à nouveau au bout de 2 ans  )  . 
SI BIEN QUE JE POSSSEDE LES 3 ANNEES COMPLETES   4 N°         1982  /  1983   /   1984
                                             + lLES 2  ANNEES COMPLETES    4 N°       1991  /  1992

EN CONSULTANT LES NUMEROS DES ANNES 1991 1992   ON VERRA POURQUOIS CETTE REVUE NE M INTERESSAIT PLUS 



COTE     les numéros anciens se vendent environ  50 a 60 fr pièce  ches les bouqu 
               les uméros modernes devaient bien se vendre neuf à l'époque  40 ou 50 fr pièce . Ils se négocient surement maintenant au moins  40 fr pièce .  
DONC JE METS  /  :  12 x 60  =  720  pour les numéros anciens 
                                    20 x 40 =  800  pour kles numéros modernes  
                              TOTAL   :     1500    fr        

Vu deux numéros des années 82 83 à 12 E pièce ( 80 fr ) chez un bouqu Brocante LOns aout 2010

J'ai fiat l'acquiosition sur une borancte en aout 2010 à vil prix de 7 NUMEROS  DE PLUS  dont qq articles m'intéressaient :  
ANNEE  1979  complète  :  4 numéros 
ANNEE  1980             :   3  numeros ";"";"";"";"";"";"";"";"";"";""
"L'ARMEE FRANCAISE VUE PAR LES PEINTRES";"1870-1914";"ROBICHON  François";"1";"1";"";"";"";"PARIS / HERSCHER ";"";"0";"";"";"E 3";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VOIR FICHE A CE TITRE EN SERIE  HMRE  ( où je l'avais classée par erreur au départ ) ";"";"";"";"";"";"";"";"";"";""
"ALPHONSE DE NEUVILLE ";"";"ROBICHON  François ";"1";"1";"";"";"";"";"";"0";"";"";"Z 4";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"voir fiche a ce titre  EN SERIE  HMRE  

J AVOUE QUE J ASSOCIE TOUJOURS INSTINCTIVEMENT ALPHONSE DE NEUVILLE AVEC SON MEILEUR AMI     EDOUARD DETAILLE .  AUSSI  AI JE TENDANCE A CLASSER TOUT CE QUI CONCERNE  NEUVILLE EN SERIE  HMRE  . 

C EST EN FAIT UN TORT   PARCE QUE  DE NEUVILLE  N A PRATIQUEMENT PAS PEINT SUR LA REVOLUTION OU LE 1ER EMPIRE .  MAIS CELA A ETE FAIT COMME CA ET JE NE VAIS PAS RECHANGER TOUS MES CLASSEMENTS !  ";"";"";"";"";"";"";"";"";"";""
"JOB OU L' HISTOIRE ILLUSTREE";"";"ROBICHON  François";"1";"1";"ACHETE NEUF 400 FR  VERS 1985";"500";"1984    ";"PARIS /  HERSCHER";"";"160";"27 X 35";"RELIE / NEUF / EXCELLENT";"E 7";"";"";"OUVRAGE GENERAL";"PEINTURE";"";"";"";"";"";"";"";"";"1985    ";"500";"PARIS :  ?  ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  ++++";"";"";"";"TRES BEL ALBUM PAR CE SPECIALISTE DE LA PEINTURE MILITAIRE  CONSACREE AU CELEBRE
:coma: ILLUSTRATEUR :coma:   DE LA PERIODE 1900    ,   Jacques Onfroy de Bainville  dit   JOB . 

LIBRE BOURRE D ' ILLUSTRATIONS  et de dessins de ce peintre . 
Ces illustrations ont parfois un petit coté  :coma: images pour livre d'enfant :coma: , car elles ne suivent pas les règles 
de la composition des toiles de la Grande Peinture . Toutefois , elles sont  TRES BIEN FAITES  ET 
TRES REALISTES .  L'artiste maitrise parfaitement le dessin  . 

Job a dessiné sur TOUTES LES EPOQUES  .  Toutefois , la moitié à peu près des reproductions présentes dans cet ouvrage concerne la période  REVOLUTION - EMPIRE . 

A part ces reproductions , l'auteur donne une BIOGRAPHIE de l'artiste , et fait surtout une ANALYSE
 poussée de son art .
A la fin du livre ,  liste des ouvrages illustrés par JOB  . 

AU TOTAL  LIVRE DU PLUS GRAND INTERET  .  ";"";"";"";"";"";"";"";"";"";""
"EDOUARD DETAILLE , UN SIECLE DE GLOIRE MILITAIRE  ";"";"ROBICHON  François";"1";"1";"";"";"";"";"";"0";"";"";"J 5 ";"";"";"";"PEINTURE MILITAIRE";"EDOUARD DETAILLE ";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VOIR FICHE A CE TITRE EN SERIE HMRE 

JE FAIS UN RAPPEL ICI CAR LES PEINTURES DE DETAILLE ONT BP CONCERNE AUSSI LA GUERRE DE 1870 ";"";"";"";"";"";"";"";"";"";""
"LA CAVALERIE DANS LA GUERRE DE 1870";"RECITS DE SOLDATS";"ROBIN Pierre";"1";"1";"acheté neuf 130 fr en 2009 à LCV";"";"2009    ";"PARIS/ GIOVANANGELI ED. ";"COLLECTION EPOPEE";"235";"14 X  22.5";"BORCHE / NEUF/ EXCELLENT";"D 2";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"SOUVENIRS";"GUERRE 1870  ";"";"";"";"";"";"";"";"2009    ";"50";"PARIS / LCV";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE   +";"";"BIBLIOGRAPHIE ++";"";"BOUQIN QUI SEMBLE TRES IN T  

IL  S AGIT DU REGROUPEMENT DE PLUSIEURS RECITS DE CAVALEIRS  ACTEURS  DE DIVERSES ACTIONS DE CAVALERIE AU COURS DE LA GUERRE DE 1870 

SANS ILLSUTR  ( SAUF LA TRES BELLE COUVERTURE )   NI CARTE

TRES INTERESSANT /  RECITS VECUS  ECRITS AVEC REALISME ET PRECISION :  ON S'Y CROIT

11  COMBATS OU BATAILLES FONT L'OBJET D' UN TEMOIGNAGE ";""
"SCHIRLENHOF  /   REICHSHOFFEN  /  PONT A MOUSSON 
QUATRE  A REZONVILLE  /  BUSANCY  /  MOUZON 
SEDAN  /  FLOING 
";"";"";"";"";"";"";"";"";"";""
"LA GUERRE , L' ARMEE , LA NATION ";"";"ROCHE  André ";"1";"1";"";"";"1980    ";"PARIS / CLC ED.";"";"100";"13 X 21";"BROCHE / EXCELLENT ";"C 1";"";"";" ";"ETUDE GENERALE";"";"";"";"";"";"";"";"";"1980    ";"50";"?";"";"";"";"";"";"";"";"";"";"";"";"";"";"ETUDE GENERALE ET TRES INTERESSANTE SUR LE ROLE ET LA NECESSITE DE L' ARMEE


SANS ILLUSTR  NI CARTE ";"";"";"";"";"";"";"";"";"";""
"LA FERTE NE REPOND PLUS ";"";"ROCOLLE  Colonel P. ";"1";"1";"acheté neuf sur place en 1980 env 20 fr ";"50";"1979    ";"SEDAN / DECOSTER ";"";"28";"21 X 18";"BROCHE / T BON ETAT";"K 3";"";"";"SECONDE GUERRE MONDIALE ";"OPERATIONS";"LIGNE MAGINOT / CAMPAGNE DE FRANCE";"MAI 40 / OUVRAGE DE LA FERTE ";"";"";"";"";"";"";"1980    ";"30";"LA FERTE ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE +++";"CARTES +++";"";"";"PLAQUETTE SUR LE COMBAT QUE SOUTINT CET OUVRAGE DE LA LIGNE MAGINOT EN MAI 40

La Ferté , à côté de Sedan , est un des rares ouvrages de la ligne Maginot qui ait eu à subir une attaque en 
règle et dont les défenseurs se sont battus héroiquement . 

RECIT TRES INTERESSANT .Nombreuses  photos  n et blanc  .  Nombreux PLANS ET CROQUIS . 

J'ai acheté cette plaquette sur place en 1980 lors de ma visite sur les lieux . ";"";"";"";"";"";"";"";"";"";""
"LA GUERRE SANS HAINE ";"";"ROMMEL   Maréchal ";"1";"1";"acheté sur une brocante en 2015  10E ";"";"1952    ";"PARIS / AMIOT DUMONT ";"";"335";"16 x 21";"BROCHE / BON ETAT ";"K 6";"";"";"GUERRE  1939-1945";"MEMOIRES  / OPERATIONS";"CAMPAGNE DE FRANCE 1940";"CAMPAGNE DE LIBYE ";"";"";"";"";"";"";"2015    ";"100";"BROCANTE ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  ++";"CARTES +";"";"";"IL S AGIT  D UN TEXTE FORME A BASE DES CARNETS ECRITS PAR ROMMEL   MIS EN FORME PAR LE CELEBRE  HISTORIEN BRITANNIQUE DE LA SECONDE GUERRE MONDIALE , B.  LIDELL HART 

IL N Y A LA QUE LE TOME 1   QUI COUVRE LA CAMPAGNE DE FRANCE EN 1940  ET LA PREMIERE MOITIE DE LA CAMPAGNE EN AFRIQUE  CELLE DES SUCCES . 

PAS ENCORE LU  MAIS SEMBLE PASSIONNANT . 


COMPORTE QQ  PAGES AVEC DES PHOTOS N ET BLANC  TRES INTERESSANTES  ET QQ CARTES  TRES SCHEMATIQUES MAIS ASSEZ PARLANTES ";"";"";"";"";"";"";"";"";"";""
"ATLAS DE L'HIST.DE LA GUERRE FRANCO-ALLEMANDE ";"";"ROUSSET   Commandant --";"1";"1";"acheté 120 fr chez un bouqu années 80";"";"1880    ";"PARIS / LIBR. ILLUSTREE";"";"56";"14.5 X 23";"BROCHE / ETAT MOYEN ";"D 2";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"ATLAS  /  CARTES";"";"";"";"";"";"";"";"";"1987    ";"300";"BOUQUINISTE A NANCY ";"";"";"";"";"";"";"";"";"";"";"CARTES   +++";"";"";"J'ai trouvé cet ATLAS , correspondant au fameux ouvrage du COMMANDANT ROUSSET  ,   bien après avoir acheté  ce dernier
ouvrage . 

Ne l'ayant pas sous les yeux , je pensais que ces cartes apportaient de nouvelles précisions . 

EN FAIT , il semble que cet ATLAS ne soit que le recueilo de l'ensemble des cartes qui existent à la fin de chaque volume de 
l'ouvrage  ( sans doute y a t-il eu une édition avec cartes rassemblées dans cet Atlas ) . 
Enfin , il ne semble rien apporter par rapport aux cartes de l'ouvrage , si ce n'est qu'on peut les photocopier sans abimer les 
volumes reliés de l'ouvrage .  

COTE : CET ATLAS EST CEPENDANT ASSEZ RARE et je porte la cote à 300 fr  ";"";"";"";"";"";"";"";"";"";""
"HISTOIRE GENERALE DE LA GUERRE FRANCO-ALLEMANDE";"1870 - 1871";"ROUSSET   Commandant --";"1";"6";"acheté 600 fr chez bouqu à Nancy en sept  85";"1000";"1880    ";"PARIS / LIBR. ILLUSTREE";"";"3000";"15 X 22";"RELIE / PARFAIT ETAT ";"D 2";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"OPERATIONS";"";"";"";"";"";"";"";"";"1985    ";"1500";"BOUQUINISTE  NANCY";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE   +";"CARTES  +++";"";"";"OUVRAGE DE REFERENCE SUR CE CONFLIT  PAR CET AUTEUR PROFESSEUR A L ECOLE SUPERIEURE DE GUERRE

TRAITE L'ENSEMBLE DU CONFLIT ,  ARMEES REGULIERES  ET ARMEES DE LA :coma: LEVEE EN MASSE :coma: . 

VOLUME 1  :  Présentation des forces , Campagne d'Alsace , de Lorraine ,  1ères opérations autour de Metz  ( Borny ) 
     :coma:          2  :   Batailles autour de Metz  :  REZONVILLE , SAINT-PRIVAT .  Armée de Châlons , Campagne des Ardennes  , 
                            Bataille de Beaumont , Mouzon , SEDAN  .  Blocus et capitulation de METZ . 

     :coma:         3  :    Marche des allemands sur Paris /  Combats autour de Paris  : fin de l'année 1870  , armistice 

     :coma:         4  :    Opérations de l'Armée de la LOIRE  . 

     :coma:         5  :     Opérations de l'armée du NORD   et 1ère Campagne de l'EST  . 

     :coma:         6  :     Seconde campagne de l'EST  .  Sièges des places  STRASBOURG , BELFORT , PHALSBOURG , BITCHE . 
                                            Traité de Francfort

Chaque volumes comporte à la fin des annexes , des pièces justificatives et de NOMBREUSES CARTES RELATIVES AU VOLUME
TRES DETAILLEES  ( mais non renseignées )  extraits de cartes d'état-major . 

Qq illustrations dans le texte  ( dessins noir et blanc ) 

COTE :  vu à 300 Euros ( 2000 fr ) les 6 vol reliés en rouge exactement comme les miens ches un bouqu  brocante de Lons aout 2010
je porte donc la cote à 1500 Fr ";"";"";"";"";"";"";"";"";"";""
"LA  BATAILLE DE FRANCE / MAI-JUIN  1940";"";"RUTHERFORD  Ward";"1";"1";"acheté neuf en solde 70 fr ( prix normal 300fr )  ";"400";"1980    ";"PARIS / EPA";"";"188";"22 X 31";"RELIE CARTONNE/NEUF/EXC.";"A 2";"";"";"SECONDE GUERRE MONDIALE ";"OPERATIONS";"CAMPAGNE DE FRANCE  1940 ";"";"";"";"";"";"";"";"1982    ";"200";"SOLDERIE DE GRANDS LIVRES ";"ANGLAIS ";"ANGLETERRE";"BLIETZKRIEG";"";"1977    ";"LONDRES / BISON BOOKS";"";"";"";"ICONOGRAPHIE  ++++";"CARTES +++";"";"";"OUVRAGE MODERNE TRES INTERESSANT  SUR CETTE PHASE DE LA GUERRE

FORMAT ET STYLE :coma:  BEAU LIVRE :coma:  .
REMPLI D ILLUSTR.  ( photos )  dont certaines en couleurs  . Beaucoup de PHOTOS MAGNIFIQUES .

PLUSIEURS CARTES ( pas très :coma: techniques :coma: mais très :coma: didactiques :coma: )  

OUVRAGE DU PLUS GRAND INTERET  .";"";"";"";"";"";"";"";"";"";""
"FRANCAIS VOICI VOTRE ARMEE";"";"S.I.R.P.A.";"1";"1";"cadeau";"";"1976    ";"S.I.R.P.A.";"";"174";"13 X 18";"BROCHE/NEUF/ EXCELLENT";"F 7";"";"";"ARMEES MODERNES ";"ETUDE GENERALE";"ARMEE FRANCAISE DES ANNEES 1975 ";"";"";"";"";"";"";"";"1977    ";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PETIT LIVRE QUI NOUS ETATI REMIS LORS DE NOTRE ARRIVEE AU SERVICE MILITAIRE .   ( 1977 pour moi ) 


PRESENTATION DES MATERIELS DE L  EPOQUE DE L ARMEE FRANCAISE  AINSI QUE DES MENACES EXTERIEURES . 

A LA FIN  PLANCHE DES DIFFERENTS GRADES DES DIFFERENTES ARMES . 

TRES INT.  REMPLI D ILLUSTR COULEUR ";"";"";"";"";"";"";"";"";"";""
